"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"111",1248,195,2016,"B73","D","2015_386self","195_D_1248","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.03,22.76,1.62223806129722,12.4740268842203,10.2859731157797
"112",1258,200,2016,"PH207xMo007","B","2015_5x6","200_B_1258","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.21,24.57,1.72906403940887,13.979352368974,10.590647631026
"113",1259,200,2016,"PH207xMo007","C","2015_5x6","200_C_1259","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.27,24.38,1.70847932725999,13.6818076626509,10.6981923373491
"114",1260,200,2016,"PH207xMo007","D","2015_5x6","200_D_1260","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.98,24.41,1.74606580829757,14.2289247871269,10.1810752128731
"115",1275,201,2016,"PH207xMo010","C","2015_9x10","201_C_1275","6/21/16","No","1:00-1:30PM","29-31 C",14.71,22.63,1.53840924541128,11.3176072682339,11.3123927317661
"116",1281,202,2016,"PH207xMo012","A","2015_12x11","202_A_1281","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.79,22.8,1.54158215010142,11.3610678935737,11.4389321064263
"117",1282,202,2016,"PH207xMo012","B","2015_12x11","202_B_1282","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.51,22.88,1.57684355616816,11.8469249700668,11.0330750299332
"118",1283,202,2016,"PH207xMo012","C","2015_12x11","202_C_1283","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.68,24.06,1.89747634069401,16.5474597174016,7.51254028259839
"119",1284,202,2016,"PH207xMo012","D","2015_12x11","202_D_1284","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.59,23.35,1.40747438215793,9.70784027382987,13.6421597261701
"120",1293,203,2016,"PH207xMo014","A","2015_13x14","203_A_1293","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.1,24.26,1.85190839694657,15.8504585905617,8.40954140943827
"121",1294,203,2016,"PH207xMo014","B","2015_13x14","203_B_1294","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.88,23.17,1.55712365591398,11.5747494177226,11.5952505822774
"122",1295,203,2016,"PH207xMo014","C","2015_13x14","203_C_1295","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.53,22.24,1.34543254688445,9.16804860445855,13.0719513955414
"123",1296,203,2016,"PH207xMo014","D","2015_13x14","203_D_1296","6/16/16","Yes","1:00-2:30 PM","32-34 C",10.72,23.19,2.16324626865672,18.8509259376179,4.33907406238215
"124",1305,204,2016,"PH207xMo015","A","2015_16x15","204_A_1305","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.12,22.92,1.62322946175637,12.4877275014788,10.4322724985212
"125",1306,204,2016,"PH207xMo015","B","2015_16x15","204_B_1306","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.85,13.23,0.955234657039711,7.86062824459251,5.36937175540749
"126",1307,204,2016,"PH207xMo015","C","2015_16x15","204_C_1307","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.64,24,1.63934426229508,12.7106437987931,11.2893562012069
"127",1308,204,2016,"PH207xMo015","D","2015_16x15","204_D_1308","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.85,23.14,1.67075812274368,13.1477767947958,9.9922232052042
"128",1317,205,2016,"PH207xMo016","A","2015_17x18","205_A_1317","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.62,14.18,0.969904240766074,7.86838005204394,6.31161994795606
"129",1320,205,2016,"PH207xMo016","D","2015_17x18","205_D_1320","6/16/16","Yes","1:00-2:30 PM","32-34 C",21.62,30.67,1.41859389454209,9.82224247467212,20.8477575253279
"130",1329,206,2016,"PH207xMo017","A","2015_20x19","206_A_1329","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.62,10.1,0.607701564380265,7.82370232995429,2.2762976700457
"131",1332,206,2016,"PH207xMo017","D","2015_20x19","206_D_1332","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.66,16.79,1.326224328594,9.03257325453846,7.75742674546154
"132",1341,207,2016,"PH207XMo021","A","2015_21x22","207_A_1341","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.89,31.73,1.77361654555618,14.6409811602661,17.0890188397339
"133",1342,207,2016,"PH207XMo021","B","2015_21x22","207_B_1342","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.88,28.29,1.90120967741935,16.6028855310762,11.6871144689238
"134",1344,207,2016,"PH207XMo021","D","2015_21x22","207_D_1344","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.36,28.93,1.76833740831296,14.5613019476804,14.3686980523196
"135",1353,208,2016,"PH207xMo023","A","2015_25x26","208_A_1353","6/16/16","Yes","1:00-2:30 PM","32-34 C",21.93,22.43,1.02279981760146,7.91101410198,14.51898589802
"136",1354,208,2016,"PH207xMo023","B","2015_25x26","208_B_1354","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.77,28.77,1.82435003170577,15.4211592834417,13.3488407165583
